Disease,Description,Diet,Medication,Unnamed: 0_x,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Unnamed: 0.1,Unnamed: 0_y,workout
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,93,93,Stay hydrated
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,94,94,Include antioxidant-rich foods
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,95,95,Avoid sulfite-containing foods
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,96,96,Limit processed foods
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,97,97,Consume magnesium-rich foods
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,98,98,Consult a healthcare professional
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",30,switch to loose cloothing,take deep breaths,get away from trigger,seek help,99,99,Avoid trigger foods
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,110,110,Identify and avoid trigger foods
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,111,111,Stay hydrated
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,112,112,Include magnesium-rich foods
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,113,113,Consume omega-3 fatty acids
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,114,114,Limit caffeine and alcohol
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,115,115,Consume riboflavin-rich foods
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,116,116,Limit processed foods
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,117,117,Maintain regular meal times
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,118,118,Consult a healthcare professional
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.,"['Migraine Diet', 'Low-Tyramine Diet', 'Caffeine withdrawal', 'Hydration', 'Magnesium-rich foods']","['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']",29,meditation,reduce stress,use poloroid glasses in sun,consult doctor,119,119,Manage stress
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,120,120,Include anti-inflammatory foods
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,121,121,Consume omega-3 fatty acids
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,122,122,Include vitamin D-rich foods
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,123,123,Stay hydrated
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,124,124,Consume antioxidant-rich foods
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,125,125,Limit processed foods
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,126,126,Include lean proteins
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,127,127,Practice good posture
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,128,128,Consult a healthcare professional
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.,"['Arthritis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']","['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']",19,use heating pad or cold pack,exercise,take otc pain reliver,consult doctor,129,129,Engage in regular exercise
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,130,130,Follow a balanced and nutritious diet
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,131,131,Include lean proteins
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,132,132,Consume nutrient-rich foods
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,133,133,Stay hydrated
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,134,134,Include healthy fats
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,135,135,Limit sugary foods and beverages
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,136,136,Include antioxidants
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,137,137,Consume foods rich in vitamin K
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,138,138,Consult a healthcare professional
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.,"['Heart-Healthy Diet', 'Low-sodium foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']",24,massage,eat healthy,exercise,consult doctor,139,139,Manage stress
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,140,140,Stay hydrated
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,141,141,Consume nutrient-rich foods
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,142,142,Include protein-rich foods
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,143,143,Consume easily digestible foods
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,144,144,Limit fatty foods
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,145,145,Avoid alcohol and caffeine
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,146,146,Include vitamin C-rich foods
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,147,147,Consult a healthcare professional
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,148,148,Rest and conserve energy
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems.","['Liver-Healthy Diet', 'Low-fat Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']",32,drink plenty of water,consume milk thistle,eat fruits and high fiberous food,medication,149,149,Gradually resume normal diet
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,150,150,Stay hydrated
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,151,151,Consume nutrient-rich foods
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,152,152,Include protein-rich foods
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,153,153,Consume foods rich in antioxidants
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,154,154,Limit fatty and greasy foods
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,155,155,Avoid alcohol and caffeine
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,156,156,Include vitamin C-rich foods
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,157,157,Consult a healthcare professional
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,158,158,Rest and conserve energy
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.,"['Malaria Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Oral rehydration solutions']","['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']",1,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,159,159,Gradually resume normal diet
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,160,160,Stay hydrated
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,161,161,Include easily digestible foods
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,162,162,Include vitamin C-rich foods
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,163,163,Consume protein-rich foods
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,164,164,Include zinc-rich foods
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,165,165,Avoid spicy and acidic foods
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,166,166,Consult a healthcare professional
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,167,167,Practice good hygiene
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,168,168,Rest and conserve energy
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.,"['Chicken Pox Diet', 'High-Calorie Diet', 'Soft and bland foods', 'Hydration', 'Protein-rich foods']","['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']",18,use neem in bathing ,consume neem leaves,take vaccine,avoid public places,169,169,Gradually resume normal diet
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",34,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,170,170,Stay hydrated
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",34,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,171,171,Include nutrient-rich foods
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",34,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,172,172,Consume foods rich in vitamin C and antioxidants
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",34,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,173,173,Limit fatty and greasy foods
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",34,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,174,174,Avoid caffeine and alcohol
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.,"['Dengue Diet', 'Hydration', 'High-Calorie Diet', 'Soft and bland foods', 'Protein-rich foods']","['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']",34,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,175,175,Include soft and easily digestible foods
